inventory_id,item_id,location,case_count_on_hand,case_count_allocated,case_count_available,unit_price,date_last_sold,case_count_last_sold,date_extracted
135180,30949,PAN,914,0,914,0,20210929,1936,Mon Oct 11 16:52:32 2021
87978,26066,PAN,1785,0,1785,0,20210929,2113,Mon Oct 11 16:52:32 2021
27957,26066,REC,18049,0,18049,0,20210930,880,Mon Oct 11 16:52:32 2021
98482,21138,HLD,1227,0,1227,0,20210902,1020,Mon Oct 11 16:52:32 2021
66639,18042,PAN,252,0,252,0,20211005,353,Mon Oct 11 16:52:32 2021
100808,11359,HLD,2078,0,2078,0,20211008,680,Mon Oct 11 16:52:32 2021
102769,10672,PAN,4105,0,4105,0,20211005,639,Mon Oct 11 16:52:32 2021
67301,4011,PAN,483,0,483,0,20210929,320,Mon Oct 11 16:52:32 2021
46409,4011,REC,704,0,704,0,20210826,361,Mon Oct 11 16:52:32 2021
95880,3007,HLD,8754,0,8754,0,20211008,323,Mon Oct 11 16:52:32 2021
